BRANDS,CATEGORY_TAGS,CITY,ENCLOSED,INCLUDES_PARKING_LOT,LATITUDE,LOCATION_NAME,LONGITUDE,MEDIAN_DWELL,NAICS_CODE,NORMALIZED_VISITS_BY_TOTAL_VISITORS,NORMALIZED_VISITS_BY_TOTAL_VISITS,POSTAL_CODE,RAW_VISITOR_COUNTS,RAW_VISIT_COUNTS,REGION,STREET_ADDRESS,SUB_CATEGORY,TOP_CATEGORY,dwell_5_20,dwell_lt5,dwell_61_240,dwell_gt240,dwell_21_60,dwell_total_obs,peak_hour,evening_share,avg_daily_visits,max_daily_visits,std_daily_visits,dwell_lt5_share,dwell_5_20_share,dwell_21_60_share,dwell_61_240_share,dwell_gt240_share,fast_food_behavior_score,visit_volume_score,stability_score,zip_restaurant_count,competition_score,fast_food_behavior_score_norm
bartaco,"Beverages,Chicken,Meats,Salad,Seafood",Boston,False,False,42.350919,bartaco,-71.04745,1.0,722511,0.001594807433,0.0001100743882,2210.0,249.0,271.0,MA,25 Thomson Pl,Full-Service Restaurants,Restaurants and Other Eating Places,21,223,17,4,4,269.0,16,0.27319587628865977,8.741935483870968,15.0,2.4225784974862696,0.828996282527881,0.07806691449814127,0.01486988847583643,0.06319702602230483,0.01486988847583643,0.5286245353159851,0.006381620931716656,0.9897305504703139,82,0.0,0.8810408921933085
Caffè Nero,"Breakfast,Casual Dining,Coffee Shop,Drinks,Healthy Food,Pastries,Snacks",Boston,False,False,42.310977,Caffè Nero,-71.114799,1.0,722515,2.958485077e-05,2.013261525e-06,2130.0,5.0,5.0,MA,733 Centre St,Snack and Nonalcoholic Beverage Bars,Restaurants and Other Eating Places,0,4,0,0,0,4.0,9,0.4,0.16129032258064516,1.0,0.3677985242255284,1.0,0.0,0.0,0.0,0.0,0.6,9.454253232172823e-05,0.9991261235004185,9,0.9012345679012346,1.0
Starbucks,"Bakery,Coffee Shop,Counter Service,Dessert,Snacks,Tea House",Boston,False,False,42.348984,Starbucks,-71.064179,134.0,722515,0.008037713717,0.0005623988186,2111.0,1034.0,1364.0,MA,821 Washington St,Snack and Nonalcoholic Beverage Bars,Restaurants and Other Eating Places,12,989,116,219,25,1361.0,10,0.3701092703560099,45.0,78.0,17.681774834284102,0.7266715650257164,0.00881704628949302,0.018368846436443792,0.0852314474650992,0.1609110947832476,0.439529757531227,0.032215367888628894,0.9199571949632637,66,0.19753086419753085,0.7325495958853784
MrBeast Burger,"Beverages,Burgers,Chicken,Meats,Snacks",Boston,False,False,42.357122,MrBeast Burger,-71.060103,1.0,722513,5.974686347e-05,4.270224456e-06,2108.0,10.0,10.0,MA,42 Province St,Limited-Service Restaurants,Restaurants and Other Eating Places,0,8,0,0,0,8.0,18,0.5,0.3548387096774194,1.0,0.4784644185223008,1.0,0.0,0.0,0.0,0.0,0.6,0.00021272069772388852,0.9986200987652459,31,0.6296296296296297,1.0
,Deli,Boston,False,False,42.358162,Bull Market Deli,-71.055003,31.0,722513,0.001149029096,7.888335324e-05,2109.0,187.0,203.0,MA,7 Liberty Sq,Limited-Service Restaurants,Restaurants and Other Eating Places,0,140,0,15,46,201.0,14,0.2821576763485477,6.064516129032258,14.0,6.262718588656814,0.6965174129353234,0.0,0.22885572139303484,0.0,0.07462686567164178,0.41791044776119407,0.004774397882247276,0.9721713387094705,47,0.4320987654320988,0.6965174129353234
,"Ice Cream Shop,Truck or Cart",Boston,True,False,42.351735,Boston Frosty,-71.070768,6.0,722515,0.007873628474,0.0005391324284,2116.0,956.0,1344.0,MA,Boylston St @ Arlington St,Snack and Nonalcoholic Beverage Bars,Restaurants and Other Eating Places,31,989,145,134,44,1343.0,19,0.437403400309119,43.03225806451613,146.0,21.645954506882987,0.7364110201042442,0.02308265078183172,0.03276247207743857,0.10796723752792256,0.09977661950856292,0.4510796723752792,0.03174265522702026,0.9018308066866378,81,0.012345679012345734,0.7517994539587987
,,Boston,False,False,42.351714,The Q,-71.062809,1.0,722511,0.0004426645897,3.067172639e-05,2111.0,62.0,75.0,MA,660 Washington St,Full-Service Restaurants,Restaurants and Other Eating Places,1,65,2,2,1,71.0,20,0.5294117647058824,2.4193548387096775,7.0,1.7556212676371328,0.9154929577464789,0.014084507042253521,0.014084507042253521,0.028169014084507043,0.028169014084507043,0.5549295774647887,0.0017490368479519723,0.9927802421368428,66,0.19753086419753085,0.9248826291079811
,"Greek Food,Mediterranean Food",Boston,False,False,42.360215,Steve's Greek Cuisine,-71.055325,1.0,722511,0.0007993053262,5.543336447e-05,2109.0,136.0,136.0,MA,1 Faneuil Hall Sq,Full-Service Restaurants,Restaurants and Other Eating Places,2,131,0,0,2,135.0,15,0.1111111111111111,4.354838709677419,6.0,1.1230254958405943,0.9703703703703703,0.014814814814814815,0.014814814814814815,0.0,0.0,0.5881481481481481,0.003190810465858328,0.9956728145045878,47,0.4320987654320988,0.9802469135802468
,"Bar or Pub,Late Night,Steak House",Boston,False,False,42.349371,Mooo Seaport,-71.05018,99.0,722511,0.003161336705,0.0002217787576,2210.0,402.0,541.0,MA,49 Melcher St,Full-Service Restaurants,Restaurants and Other Eating Places,23,350,55,92,19,539.0,13,0.2288801571709234,17.741935483870968,47.0,9.058831876328183,0.6493506493506493,0.04267161410018553,0.03525046382189239,0.10204081632653061,0.17068645640074212,0.4066790352504638,0.012763241863433313,0.9593859860504836,82,0.0,0.6777983920841063
,"Hawaiian Food,Japanese Food,Sushi",Boston,False,False,42.350718,Tora Japanese Restaurant,-71.060546,4.0,722511,0.00497893036,0.0003424001537,2111.0,703.0,847.0,MA,20B Tyler St,Full-Service Restaurants,Restaurants and Other Eating Places,35,698,49,7,55,844.0,10,0.38859180035650626,28.29032258064516,64.0,16.54162598472479,0.8270142180094787,0.041469194312796206,0.06516587677725119,0.058056872037914695,0.008293838862559242,0.5127962085308057,0.019995745586045523,0.925170576405864,66,0.19753086419753085,0.8546603475513428
